,0.2,0.5,1.0,2.0
205,0.07985277133581949,0.00034434973419386063,1.1990408665951691e-16,0.0
210,0.052096019113923454,8.749017155674665e-05,5.169198402654729e-14,0.0
215,0.0671248562340937,6.155374254221857e-05,2.4424906541753444e-17,0.0
220,0.05730735952804045,8.939056248268296e-06,5.329070518200751e-17,0.0
225,0.0758083391653739,3.5530556130057845e-05,1.3988810110276973e-16,0.0
230,0.04664173785401229,0.00012963175999157418,9.214851104388799e-17,0.0
235,0.0585491613274757,6.24075604353036e-05,0.0,0.0
240,0.06271209706371902,5.006456946271887e-05,0.0,0.0
245,0.07169348503697036,0.00015197908998799026,8.881784197001253e-18,0.0
250,0.05209908045779613,5.7723537287278636e-05,0.0,0.0
255,0.048766009774856504,1.3147262220971622e-05,3.1086244689504386e-17,0.0
260,0.06665565906959339,1.7819564703793756e-05,0.0,0.0
265,0.05948156085964925,1.0936052647375627e-05,0.0,0.0
270,0.0498299153591439,5.100006815819569e-05,0.0,0.0
275,0.05895342119032282,2.4552866523246397e-05,0.0,0.0
280,0.03967390351163787,1.8958622229094947e-05,0.0,0.0
285,0.025882418721777163,1.6508021909500402e-06,0.0,0.0
290,0.05786747256415129,2.5217442046299166e-06,0.0,0.0
295,0.03187955712985595,1.150801098623866e-05,1.1102230246251566e-18,0.0
300,0.045139320110641507,5.913403282125085e-06,0.0,0.0
305,0.04513078045315589,1.0945594924332003e-05,0.0,0.0
310,0.035854967975098115,9.593006074470888e-07,0.0,0.0
315,0.03804278476987793,2.4231401006713506e-06,0.0,0.0
320,0.03302033224020593,1.4435732830075932e-06,0.0,0.0
325,0.027734945985185173,1.919134300244485e-06,0.0,0.0
330,0.03488730727058566,8.387779485283797e-06,0.0,0.0
335,0.03560805473818843,4.1033091780495747e-07,0.0,0.0
340,0.033873857046203985,7.52533520609333e-09,0.0,0.0
345,0.03177652047355509,3.7747135610111117e-07,0.0,0.0
350,0.027418287945191362,1.8592216619595092e-07,0.0,0.0
355,0.030795189933009812,6.957630753534616e-08,0.0,0.0
360,0.02394114948184873,3.353666027994251e-08,0.0,0.0
365,0.03626122140121487,3.046025027986232e-08,0.0,0.0
370,0.026251065682634037,1.397600263965959e-06,0.0,0.0
375,0.033479438421411684,3.6216696229995905e-07,0.0,0.0
380,0.023876836521349896,5.903093607040333e-08,0.0,0.0
385,0.02183311362451063,1.0237751358888048e-07,0.0,0.0
390,0.025077453841472974,8.961665788675965e-08,0.0,0.0
395,0.02942584285974498,1.2918462856115199e-08,0.0,0.0
400,0.02410375659987947,1.7877189462112142e-09,0.0,0.0
405,0.014802509861969862,1.195343521676051e-07,0.0,0.0
410,0.014803251240719304,2.0213880000952144e-08,0.0,0.0
415,0.026949714591888774,2.895571556305043e-08,0.0,0.0
420,0.019912076559759087,2.2574175251866002e-07,0.0,0.0
425,0.015241999989662034,1.6720717088691829e-09,0.0,0.0
430,0.015773072693723574,3.931869096973628e-09,0.0,0.0
435,0.012109163544080362,5.0555007559127677e-08,0.0,0.0
440,0.020395030402688565,1.410711787719343e-08,0.0,0.0
445,0.01591225938757779,9.656616717368393e-10,0.0,0.0
450,0.025250445720535517,7.408782372042566e-09,0.0,0.0
455,0.015087914797530404,6.479051184449247e-10,0.0,0.0
460,0.023679328763774214,4.387916633263878e-08,0.0,0.0
465,0.015452212114156065,1.0568978912384175e-07,0.0,0.0
470,0.014506011900045555,6.480695388111357e-09,0.0,0.0
475,0.011655974404070658,1.1346795725231118e-08,0.0,0.0
480,0.019858458466098256,4.262696593482218e-09,0.0,0.0
485,0.008265574044813867,1.2773873170335292e-09,0.0,0.0
490,0.020170218280782016,3.7111235398068486e-08,0.0,0.0
495,0.008152810865268534,3.2441763686552604e-09,0.0,0.0
500,0.01496891214271484,7.661415923898574e-10,0.0,0.0
505,0.01577094410817359,6.189050494320724e-10,0.0,0.0
510,0.01341670194133906,7.658582417913174e-08,0.0,0.0
515,0.0073710839979086555,6.775226601973828e-11,0.0,0.0
520,0.011426116795109065,2.440363494615738e-09,0.0,0.0
525,0.006992341370510909,1.861694987059792e-10,0.0,0.0
530,0.008517558968598576,3.7969080102229214e-11,0.0,0.0
535,0.0091442518320673,3.747863730474421e-10,0.0,0.0
540,0.00752681415137717,2.352686001572124e-10,0.0,0.0
545,0.008317963891880768,1.975147601029903e-11,0.0,0.0
550,0.008607332495735621,2.2263768606478605e-12,0.0,0.0
555,0.008339273287541001,2.195357229339834e-12,0.0,0.0
560,0.011232741685978041,4.5873312037869597e-10,0.0,0.0
565,0.007570179495441147,5.71104514790477e-10,0.0,0.0
570,0.008422618193451692,4.841424927626292e-11,0.0,0.0
575,0.006694894789736093,4.240382489584249e-11,0.0,0.0
580,0.007853662759694685,1.3016744848659555e-09,0.0,0.0
